X,Y,Z
-143.48881849451647,-100.30612688490552,37.81832157018616
-137.6661629255924,-53.45072604102097,48.606411094904814
-140.65169069820615,-17.133305458768746,28.398123409655756
-118.25897129932434,-26.197941915777164,62.50916054164614
-118.18649367184571,-40.31293187574829,58.938457198133804
-140.56661560681232,-23.688590503367323,8.290419023548575
-138.62461055983988,0.020514985718364187,31.983015170799852
-137.81800397848212,-19.54532906783038,26.683645309369627
-133.65049597019333,-63.683794097976715,73.5961737001567
-124.74624879099144,-33.958602657506844,79.24591384969759
-123.9549991177123,-63.37236058231247,52.615676592375436
-122.6093256282104,15.76162952036725,58.51601051916879
-114.69639532705696,-15.210630688839501,89.48582187790899
-136.05420215792992,-67.46708166639132,112.15375619576656
-132.41155191877806,-86.54616019002447,137.57236765440115
-127.86781743469464,-56.94845036845277,97.31225383659816
-146.05023754383228,-33.50612870203554,57.85717748699329
-128.31450128680467,-30.530486707326872,53.55729341343924
-142.73470623805633,5.9270980220519505,42.46975142685917
-137.00125337175257,-29.0744022626925,19.498077599756204
-122.2698749426844,-33.15916610332374,83.07315212570131
-158.51315406189053,-16.998592170921256,20.363227647712968
-140.82529192524805,-57.33093436667946,49.284615320902354
-135.59703638394524,-39.924309275764244,44.86484563121478
-159.04847225376022,-35.5346700306643,20.404807875583778
-191.7638318217173,-48.55437516754455,24.5988984201497
-158.18212708855776,-43.331785252978534,79.78161384468166
-160.59728450715147,-25.038875373481233,79.25660162808082
-168.14366321221985,-28.38713136555566,68.87503391173655
-199.53568908206933,-76.59924101605839,28.12873822320465
-144.9363131839666,0.28179994180072754,94.601329645404
-102.6468496742375,-53.80588927554618,69.8572824911972
-134.54412854259124,-28.6941074373251,118.69952712688632
-110.90034907610061,-49.74679310395595,57.8668286174209
-126.59099242973855,-5.194188467432923,101.57624122572422
-103.59122065595466,-12.446928913940155,104.87236568919165
-203.29812756321508,-81.25811665691003,24.25740734389696
-201.63674158687763,-77.42070130461343,24.157926044084686
-162.40799204530902,-49.50029554248363,66.77870641266341
-144.51372431306277,23.414641862325652,53.38673062999107
-171.716263879797,-29.234222724004894,42.36259827584376
-158.8261510629237,-42.550516264577254,74.02656630427917
-182.05822034350285,-53.93225778836427,79.35910525801707
-117.28605526971069,-59.5777594825131,81.54102012038551
-118.97096352689573,-39.13708004761338,115.59101390564575
-141.90941005609807,-3.766137022615112,41.409339108321525
-151.95989697044,-40.74688906297888,62.832569729752755
-121.12567919993012,-24.704825286459254,66.05313219150611
-129.50687940640046,-57.872420133109244,122.54529078110794
-104.50015166494029,-36.346982788980995,117.4335692393389
-122.88252889986893,-68.13774913132625,79.23669786777774
-118.60219036346109,-68.02291006613086,95.85463475952666
-115.4931877512629,-24.97938809664697,114.5482190655133
-109.32524306909681,-47.7944205961785,59.145527801826105
-119.23215859341849,-61.225256224118766,110.12646492112174
-109.74873493028065,-37.28250436576127,71.54153787471289
-107.57471743143583,-32.93147226662359,68.82360871185485
-115.73144789862374,-64.83119896910966,76.52229912013978
-109.2628237917113,-7.788114508902936,49.26091154013897
-139.5762459154679,-4.000820402612817,16.57675353688159
-134.82869696714,-35.70664233222101,22.26276729236016
-123.57063128678203,-22.27075018927212,50.41006004479236
-158.72926012100015,-29.52069769920081,12.0
-128.93072817839584,-64.07263709230142,81.7266088516824
-127.51858343435265,-46.93514849021926,90.92103148968002
-119.2267905332136,-17.94943178251924,111.17984883467084
-122.8522928527359,-21.84183031282646,110.0469814882848
-109.73686235238995,-47.237987334705394,91.52534361161986
-112.9139701427207,-46.476033677544365,111.29759421258854
-113.16324571043106,-31.25917035017801,98.98793043771647
-117.56435803086072,3.5630456544690787,104.9018234421027
-134.7408734730011,-42.98052489087536,29.195925967137683
-151.48327089214877,-32.21030462675981,7.723996899946724
-126.35874924301777,15.15953620973255,70.72297800449995
-128.82323377495595,-20.67976515284363,72.24790084666292
-155.29006177529368,-50.85911734058868,62.12032957786983
