-90.83437414608784,-133.33815308097343,17.847386033347874
-199.46970688539454,-34.52503342968794,28.391588709711296
-115.50430241225229,-37.651637442257424,24.013534782701903
-144.5581841770247,-21.367122544979793,10.94578849820264
-2.13599855e+02 -2.97723512e+02  1.18956349e+01
-1.44594895e+02 -1.66622968e+02  7.49185501e-01
-1.38680496e+02 -1.63308091e+02  2.94266952e+00
-1.44185935e+02 -1.64290588e+02  2.00000003e-01]
